trp,"speed_range",Count
98981V443748,"from:15,to:300",70340
26461V971783,"from:0,to:15",1163
26461V971783,"from:15,to:300",69539
24127V1175846,"from:0,to:15",1758
24127V1175846,"from:15,to:300",68869
70046V180859,"from:0,to:15",510
70046V180859,"from:15,to:300",69852
87161V2659404,"from:0,to:15",1805
87161V2659404,"from:15,to:300",68489
13715V2721330,"from:0,to:15",53
13715V2721330,"from:15,to:300",69957
57053V319651,"from:0,to:15",10
57053V319651,"from:15,to:300",69845
17949V320695,"from:0,to:15",36
17949V320695,"from:15,to:300",69716
19367V1911018,"from:0,to:15",420
19367V1911018,"from:15,to:300",69274
18672V521400,"from:0,to:15",1013
18672V521400,"from:15,to:300",68661
40366V521376,"from:0,to:15",2
40366V521376,"from:15,to:300",69497
67570V625213,"from:0,to:15",514
67570V625213,"from:15,to:300",68709
01790V180990,"from:0,to:15",630
01790V180990,"from:15,to:300",68484
43296V319721,"from:0,to:15",36
43296V319721,"from:15,to:300",68987
06164V248948,"from:0,to:15",821
06164V248948,"from:15,to:300",68181
21381V2554057,"from:0,to:15",0
21381V2554057,"from:15,to:300",68545
34924V1175548,"from:0,to:15",2913
34924V1175548,"from:15,to:300",65352
28495V971383,"from:0,to:15",546
28495V971383,"from:15,to:300",67240
22231V320583,"from:0,to:15",0
22231V320583,"from:15,to:300",67724
18089V625292,"from:0,to:15",456
18089V625292,"from:15,to:300",67240
78960V180925,"from:0,to:15",210
78960V180925,"from:15,to:300",67456
65743V805722,"from:0,to:15",8
65743V805722,"from:15,to:300",67594
86349V805605,"from:0,to:15",125
86349V805605,"from:15,to:300",67282
18034V444240,"from:0,to:15",0
18034V444240,"from:15,to:300",67403
13658V2659403,"from:0,to:15",0
13658V2659403,"from:15,to:300",67252
38270V1751420,"from:0,to:15",0
38270V1751420,"from:15,to:300",67171
93458V443443,"from:0,to:15",12
93458V443443,"from:15,to:300",67063
87656V1060615,"from:0,to:15",0
87656V1060615,"from:15,to:300",66969
55797V443410,"from:0,to:15",4088
55797V443410,"from:15,to:300",62610
73171V2394461,"from:0,to:15",21
73171V2394461,"from:15,to:300",66492
03398V249527,"from:0,to:15",1957
03398V249527,"from:15,to:300",64535
79830V521202,"from:0,to:15",2198
79830V521202,"from:15,to:300",64129
96781V885154,"from:0,to:15",3534
96781V885154,"from:15,to:300",62672
63827V443579,"from:0,to:15",1377
63827V443579,"from:15,to:300",64687
97410V1751020,"from:0,to:15",0
97410V1751020,"from:15,to:300",65677
04049V805680,"from:0,to:15",45
04049V805680,"from:15,to:300",65567
30807V804741,"from:0,to:15",2
